actual_deaths,date,county_state,deaths_predicted_county,deaths_predicted_shared,deaths_predicted_ensemble,date_of_10_deaths,days_since_10_deaths
0,2020-01-25,"Kings County, NY",NA,NA,NA,2020-03-22,-57
0,2020-01-26,"Kings County, NY",NA,NA,NA,2020-03-22,-56
0,2020-01-27,"Kings County, NY",NA,NA,NA,2020-03-22,-55
0,2020-01-28,"Kings County, NY",NA,NA,NA,2020-03-22,-54
0,2020-01-29,"Kings County, NY",NA,NA,NA,2020-03-22,-53
0,2020-01-30,"Kings County, NY",NA,NA,NA,2020-03-22,-52
0,2020-01-31,"Kings County, NY",NA,NA,NA,2020-03-22,-51
0,2020-02-01,"Kings County, NY",NA,NA,NA,2020-03-22,-50
0,2020-02-02,"Kings County, NY",NA,NA,NA,2020-03-22,-49
0,2020-02-03,"Kings County, NY",NA,NA,NA,2020-03-22,-48
0,2020-02-04,"Kings County, NY",NA,NA,NA,2020-03-22,-47
0,2020-02-05,"Kings County, NY",NA,NA,NA,2020-03-22,-46
0,2020-02-06,"Kings County, NY",NA,NA,NA,2020-03-22,-45
0,2020-02-07,"Kings County, NY",NA,NA,NA,2020-03-22,-44
0,2020-02-08,"Kings County, NY",NA,NA,NA,2020-03-22,-43
0,2020-02-09,"Kings County, NY",NA,NA,NA,2020-03-22,-42
0,2020-02-10,"Kings County, NY",NA,NA,NA,2020-03-22,-41
0,2020-02-11,"Kings County, NY",NA,NA,NA,2020-03-22,-40
0,2020-02-12,"Kings County, NY",NA,NA,NA,2020-03-22,-39
0,2020-02-13,"Kings County, NY",NA,NA,NA,2020-03-22,-38
0,2020-02-14,"Kings County, NY",NA,NA,NA,2020-03-22,-37
0,2020-02-15,"Kings County, NY",NA,NA,NA,2020-03-22,-36
0,2020-02-16,"Kings County, NY",NA,NA,NA,2020-03-22,-35
0,2020-02-17,"Kings County, NY",NA,NA,NA,2020-03-22,-34
0,2020-02-18,"Kings County, NY",NA,NA,NA,2020-03-22,-33
0,2020-02-19,"Kings County, NY",NA,NA,NA,2020-03-22,-32
0,2020-02-20,"Kings County, NY",NA,NA,NA,2020-03-22,-31
0,2020-02-21,"Kings County, NY",NA,NA,NA,2020-03-22,-30
0,2020-02-22,"Kings County, NY",NA,NA,NA,2020-03-22,-29
0,2020-02-23,"Kings County, NY",NA,NA,NA,2020-03-22,-28
0,2020-02-24,"Kings County, NY",NA,NA,NA,2020-03-22,-27
0,2020-02-25,"Kings County, NY",NA,NA,NA,2020-03-22,-26
0,2020-02-26,"Kings County, NY",NA,NA,NA,2020-03-22,-25
0,2020-02-27,"Kings County, NY",NA,NA,NA,2020-03-22,-24
0,2020-02-28,"Kings County, NY",NA,NA,NA,2020-03-22,-23
0,2020-02-29,"Kings County, NY",NA,NA,NA,2020-03-22,-22
0,2020-03-01,"Kings County, NY",NA,NA,NA,2020-03-22,-21
0,2020-03-02,"Kings County, NY",NA,NA,NA,2020-03-22,-20
0,2020-03-03,"Kings County, NY",NA,NA,NA,2020-03-22,-19
0,2020-03-04,"Kings County, NY",NA,NA,NA,2020-03-22,-18
0,2020-03-05,"Kings County, NY",NA,NA,NA,2020-03-22,-17
0,2020-03-06,"Kings County, NY",NA,NA,NA,2020-03-22,-16
0,2020-03-07,"Kings County, NY",NA,NA,NA,2020-03-22,-15
0,2020-03-08,"Kings County, NY",NA,NA,NA,2020-03-22,-14
0,2020-03-09,"Kings County, NY",NA,NA,NA,2020-03-22,-13
0,2020-03-10,"Kings County, NY",NA,NA,NA,2020-03-22,-12
0,2020-03-11,"Kings County, NY",NA,NA,NA,2020-03-22,-11
0,2020-03-12,"Kings County, NY",NA,NA,NA,2020-03-22,-10
0,2020-03-13,"Kings County, NY",NA,NA,NA,2020-03-22,-9
1,2020-03-14,"Kings County, NY",NA,NA,NA,2020-03-22,-8
1,2020-03-15,"Kings County, NY",NA,NA,NA,2020-03-22,-7
1,2020-03-16,"Kings County, NY",NA,NA,NA,2020-03-22,-6
1,2020-03-17,"Kings County, NY",NA,NA,NA,2020-03-22,-5
1,2020-03-18,"Kings County, NY",NA,NA,NA,2020-03-22,-4
1,2020-03-19,"Kings County, NY",NA,NA,NA,2020-03-22,-3
1,2020-03-20,"Kings County, NY",NA,NA,NA,2020-03-22,-2
1,2020-03-21,"Kings County, NY",NA,NA,NA,2020-03-22,-1
14,2020-03-22,"Kings County, NY",NA,NA,NA,2020-03-22,0
27,2020-03-23,"Kings County, NY",NA,NA,NA,2020-03-22,1
45,2020-03-24,"Kings County, NY",NA,NA,NA,2020-03-22,2
64,2020-03-25,"Kings County, NY",NA,NA,NA,2020-03-22,3
81,2020-03-26,"Kings County, NY",NA,NA,NA,2020-03-22,4
102,2020-03-27,"Kings County, NY",NA,NA,NA,2020-03-22,5
167,2020-03-28,"Kings County, NY",NA,NA,NA,2020-03-22,6
185,2020-03-29,"Kings County, NY",NA,NA,NA,2020-03-22,7
215,2020-03-30,"Kings County, NY",258.92247390999995,219.9171993300852,236.16780278,2020-03-22,8
261,2020-03-31,"Kings County, NY",343.67996830000004,261.3693637001627,295.6620846200001,2020-03-22,9
328,2020-04-01,"Kings County, NY",456.182574,310.6111564351481,371.25996372000003,2020-03-22,10
0,2020-01-22,"King County, WA",NA,NA,NA,2020-03-05,-43
0,2020-01-23,"King County, WA",NA,NA,NA,2020-03-05,-42
0,2020-01-24,"King County, WA",NA,NA,NA,2020-03-05,-41
0,2020-01-25,"King County, WA",NA,NA,NA,2020-03-05,-40
0,2020-01-26,"King County, WA",NA,NA,NA,2020-03-05,-39
0,2020-01-27,"King County, WA",NA,NA,NA,2020-03-05,-38
